index,pdb_file,trajectory_file
1AVX_r0,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r0.csv
1AVX_r1,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r1.csv
1AVX_r2,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r2.csv
1AVX_r3,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r3.csv
1AVX_r4,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r4.csv
1AVX_r5,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r5.csv
1AVX_r6,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r6.csv
1AVX_r7,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r7.csv
1AVX_r8,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r8.csv
1AVX_r9,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r9.csv
1AVX_r10,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r10.csv
1AVX_r11,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r11.csv
1AVX_r12,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r12.csv
1AVX_r13,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r13.csv
1AVX_r14,../../../../../db5_test/1AVX.pdb,trajectory_1AVX_r14.csv
1H1V_r0,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r0.csv
1H1V_r1,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r1.csv
1H1V_r2,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r2.csv
1H1V_r3,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r3.csv
1H1V_r4,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r4.csv
1H1V_r5,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r5.csv
1H1V_r6,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r6.csv
1H1V_r7,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r7.csv
1H1V_r8,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r8.csv
1H1V_r9,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r9.csv
1H1V_r10,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r10.csv
1H1V_r11,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r11.csv
1H1V_r12,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r12.csv
1H1V_r13,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r13.csv
1H1V_r14,../../../../../db5_test/1H1V.pdb,trajectory_1H1V_r14.csv
1HCF_r0,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r0.csv
1HCF_r1,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r1.csv
1HCF_r2,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r2.csv
1HCF_r3,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r3.csv
1HCF_r4,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r4.csv
1HCF_r5,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r5.csv
1HCF_r6,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r6.csv
1HCF_r7,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r7.csv
1HCF_r8,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r8.csv
1HCF_r9,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r9.csv
1HCF_r10,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r10.csv
1HCF_r11,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r11.csv
1HCF_r12,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r12.csv
1HCF_r13,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r13.csv
1HCF_r14,../../../../../db5_test/1HCF.pdb,trajectory_1HCF_r14.csv
1IRA_r0,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r0.csv
1IRA_r1,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r1.csv
1IRA_r2,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r2.csv
1IRA_r3,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r3.csv
1IRA_r4,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r4.csv
1IRA_r5,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r5.csv
1IRA_r6,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r6.csv
1IRA_r7,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r7.csv
1IRA_r8,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r8.csv
1IRA_r9,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r9.csv
1IRA_r10,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r10.csv
1IRA_r11,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r11.csv
1IRA_r12,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r12.csv
1IRA_r13,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r13.csv
1IRA_r14,../../../../../db5_test/1IRA.pdb,trajectory_1IRA_r14.csv
1JIW_r0,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r0.csv
1JIW_r1,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r1.csv
1JIW_r2,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r2.csv
1JIW_r3,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r3.csv
1JIW_r4,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r4.csv
1JIW_r5,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r5.csv
1JIW_r6,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r6.csv
1JIW_r7,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r7.csv
1JIW_r8,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r8.csv
1JIW_r9,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r9.csv
1JIW_r10,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r10.csv
1JIW_r11,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r11.csv
1JIW_r12,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r12.csv
1JIW_r13,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r13.csv
1JIW_r14,../../../../../db5_test/1JIW.pdb,trajectory_1JIW_r14.csv
1JPS_r0,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r0.csv
1JPS_r1,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r1.csv
1JPS_r2,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r2.csv
1JPS_r3,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r3.csv
1JPS_r4,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r4.csv
1JPS_r5,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r5.csv
1JPS_r6,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r6.csv
1JPS_r7,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r7.csv
1JPS_r8,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r8.csv
1JPS_r9,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r9.csv
1JPS_r10,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r10.csv
1JPS_r11,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r11.csv
1JPS_r12,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r12.csv
1JPS_r13,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r13.csv
1JPS_r14,../../../../../db5_test/1JPS.pdb,trajectory_1JPS_r14.csv
1MLC_r0,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r0.csv
1MLC_r1,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r1.csv
1MLC_r2,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r2.csv
1MLC_r3,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r3.csv
1MLC_r4,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r4.csv
1MLC_r5,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r5.csv
1MLC_r6,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r6.csv
1MLC_r7,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r7.csv
1MLC_r8,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r8.csv
1MLC_r9,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r9.csv
1MLC_r10,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r10.csv
1MLC_r11,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r11.csv
1MLC_r12,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r12.csv
1MLC_r13,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r13.csv
1MLC_r14,../../../../../db5_test/1MLC.pdb,trajectory_1MLC_r14.csv
1N2C_r0,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r0.csv
1N2C_r1,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r1.csv
1N2C_r2,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r2.csv
1N2C_r3,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r3.csv
1N2C_r4,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r4.csv
1N2C_r5,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r5.csv
1N2C_r6,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r6.csv
1N2C_r7,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r7.csv
1N2C_r8,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r8.csv
1N2C_r9,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r9.csv
1N2C_r10,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r10.csv
1N2C_r11,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r11.csv
1N2C_r12,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r12.csv
1N2C_r13,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r13.csv
1N2C_r14,../../../../../db5_test/1N2C.pdb,trajectory_1N2C_r14.csv
1NW9_r0,../../../../../db5_test/1NW9.pdb,trajectory_1NW9_r0.csv
1NW9_r1,../../../../../db5_test/1NW9.pdb,trajectory_1NW9_r1.csv
