index,samples
0,41.695774
1,-35.07187
2,27.033716
3,-2.9047773
4,43.152504
5,49.196037
6,-35.14505
7,-35.13611
8,-5.1081333
9,-41.57681
10,38.14697
11,4.165714
12,-26.442585
13,1.6194422
14,2.3833582
15,-34.858097
16,29.103836
17,3.7274384
18,-37.0961
19,-2.9132285
20,9.251104
21,37.36695
22,1.0197676
23,-37.586178
24,1.2091205
25,2.4450836
26,-30.029148
27,-33.67724
28,43.83016
29,33.61476
30,-26.919847
31,-20.258705
32,-18.041765
33,-29.581783
34,-40.651653
35,-21.241379
36,-4.397443
37,54.270786
38,-35.227043
39,-16.779633
40,-34.906788
41,-34.075478
42,26.254463
43,-20.091152
44,-32.495266
45,3.019515
46,-29.590124
47,-2.8672657
48,-30.591185
49,-21.067842
50,39.47497
51,-34.52824
52,-28.628082
53,36.57925
54,-6.0979657
55,-9.256893
56,19.161718
57,4.275167
58,1.2244135
59,-24.904541
60,60.18969
61,-0.7370423
62,-27.629143
63,-27.19478
64,-26.888912
65,-32.943222
66,41.966206
67,42.10591
68,-32.744225
69,-27.590733
70,7.2260184
71,-24.220219
72,-37.575516
73,-28.347778
74,-24.609362
75,-4.263534
76,42.05506
77,45.721397
78,53.06359
79,-24.442055
80,4.6779985
81,-42.363045
82,39.664845
83,63.591576
84,-4.9662104
85,44.09446
86,-19.469988
87,-11.208302
88,-29.981726
89,-41.621555
90,-20.667358
91,-3.4310951
92,-34.269146
93,-3.2530537
94,2.8225842
95,3.0640123
96,50.40296
97,44.56629
98,50.18793
99,-22.086262
100,-38.694656
101,-42.182476
102,-24.355785
103,-45.380856
104,27.358494
105,44.592613
106,45.44228
107,22.789095
108,-33.327976
109,-22.387653
110,9.953228
111,-0.32826746
112,-29.596424
113,-20.103523
114,-29.227226
115,-10.696901
116,-0.6654506
117,-45.550724
118,-40.260185
119,-3.4653916
120,-22.289288
121,34.43234
122,-22.271883
123,-24.574873
124,-35.627274
125,26.66271
126,4.216083
127,1.2507762
128,9.836152
129,-3.6305475
130,-6.133833
131,0.9962437
132,42.116222
133,23.778875
134,32.016254
135,-16.439543
136,-7.3327107
137,-3.359458
138,-31.739557
139,-5.6657414
140,-27.982458
141,-30.131596
142,5.9804115
143,-40.769173
144,-29.763353
145,-42.03986
146,-0.10955337
147,-0.14005816
148,50.220432
149,-0.5765904
150,56.602425
151,-30.334476
152,0.0076181307
153,-36.77641
154,51.032124
155,45.020195
156,3.9428186
157,45.758854
158,-24.490532
159,-20.563358
160,46.44149
161,37.73438
162,-33.358665
163,39.819057
164,42.21157
165,42.441303
166,1.4781414
