index,pdb_file,trajectory_file
1AVX,../../../../db5_test/1AVX.pdb,trajectory_1AVX.csv
1H1V,../../../../db5_test/1H1V.pdb,trajectory_1H1V.csv
1HCF,../../../../db5_test/1HCF.pdb,trajectory_1HCF.csv
1IRA,../../../../db5_test/1IRA.pdb,trajectory_1IRA.csv
1JIW,../../../../db5_test/1JIW.pdb,trajectory_1JIW.csv
1JPS,../../../../db5_test/1JPS.pdb,trajectory_1JPS.csv
1MLC,../../../../db5_test/1MLC.pdb,trajectory_1MLC.csv
1N2C,../../../../db5_test/1N2C.pdb,trajectory_1N2C.csv
1NW9,../../../../db5_test/1NW9.pdb,trajectory_1NW9.csv
1QA9,../../../../db5_test/1QA9.pdb,trajectory_1QA9.csv
1VFB,../../../../db5_test/1VFB.pdb,trajectory_1VFB.csv
1ZHI,../../../../db5_test/1ZHI.pdb,trajectory_1ZHI.csv
2A1A,../../../../db5_test/2A1A.pdb,trajectory_2A1A.csv
2A9K,../../../../db5_test/2A9K.pdb,trajectory_2A9K.csv
2AYO,../../../../db5_test/2AYO.pdb,trajectory_2AYO.csv
2SIC,../../../../db5_test/2SIC.pdb,trajectory_2SIC.csv
2SNI,../../../../db5_test/2SNI.pdb,trajectory_2SNI.csv
2VDB,../../../../db5_test/2VDB.pdb,trajectory_2VDB.csv
3SZK,../../../../db5_test/3SZK.pdb,trajectory_3SZK.csv
4POU,../../../../db5_test/4POU.pdb,trajectory_4POU.csv
5C7X,../../../../db5_test/5C7X.pdb,trajectory_5C7X.csv
5HGG,../../../../db5_test/5HGG.pdb,trajectory_5HGG.csv
5JMO,../../../../db5_test/5JMO.pdb,trajectory_5JMO.csv
6B0S,../../../../db5_test/6B0S.pdb,trajectory_6B0S.csv
7CEI,../../../../db5_test/7CEI.pdb,trajectory_7CEI.csv
