index,pdb_id,center,plane_x,plane_y,plane_offset
1AVX_p0,1AVX,[28.376059  24.91683   -5.8595448],7.969391936969535,23.86090773509633,-28.76681246214122
1AVX_p1,1AVX,[ 33.70798   18.442472 -16.026108],20.954675701409748,24.273997734058632,-26.54927196276759
1AVX_p2,1AVX,[31.769108  23.00157   -7.9438653],12.180381458328473,23.460823938005788,-30.044662433312023
1AVX_p3,1AVX,[ 31.957254  23.350044 -10.081335],13.588735916662362,24.957436643020568,-29.335931903780278
1AVX_p4,1AVX,[30.205317 23.959866 -5.569948],9.23294728701676,22.90797669150934,-30.123714323680083
1AVX_p5,1AVX,[ 34.541218  18.814972 -15.7548  ],21.053372775430738,24.42766103844408,-27.483773855013663
1AVX_p6,1AVX,[ 33.957527  18.688492 -16.132046],21.049464331032944,24.536794170453845,-26.78586186571887
1AVX_p7,1AVX,[31.116089 23.71233  -6.483757],10.481064347272348,23.220849026368047,-30.388557082363263
1AVX_p8,1AVX,[-6.35678  32.55246   5.457123],-22.609540388378925,23.754709897329572,-7.3738758447635675
1AVX_p9,1AVX,[  5.984934 -18.297411 -30.255955],32.72267175802031,2.029574874850226,14.530833103056706
1AVX_p10,1AVX,[ 31.38279   -8.801842 -26.988188],40.043908043441135,8.010687000608456,-11.091834491737547
1AVX_p11,1AVX,[-12.668969 -21.861176 -21.569674],18.1206325001693,-5.823270280754513,27.22860265784723
1AVX_p12,1AVX,[30.232857  22.973936  -5.2471557],9.491163930135578,21.912381238731935,-29.985423186578554
1AVX_p13,1AVX,[ 34.395733  17.214039 -17.1113  ],22.65963525306218,23.875002053650256,-26.24331708347797
1AVX_p14,1AVX,[31.058208 23.36145  -6.269568],10.46730441798566,22.810344235347568,-30.328223524087214
1AVX_p15,1AVX,[32.476715  22.559383  -7.0860476],12.190688238801979,22.61089834474184,-30.887044889978547
1AVX_p16,1AVX,[29.815845  23.323492  -4.1799846],8.362587511044499,21.59686830613562,-30.23383591071735
1AVX_p17,1AVX,[-5.584917 -8.422444 33.078056],-21.84462882954394,-25.65879370829368,-7.792641113159868
1AVX_p18,1AVX,[31.69541   21.964493  -6.1910496],11.42420255072438,21.614021404567517,-30.457986933703665
1AVX_p19,1AVX,[30.676018  22.789145  -4.8766327],9.56872639393208,21.55038361989449,-30.46580706669904
1AVX_p20,1AVX,[ 34.538006  17.055828 -19.158993],24.219796458663428,24.903022082891876,-25.378798827700365
1AVX_p21,1AVX,[31.606937  22.512945  -6.2069616],11.127675234916566,22.075265729033998,-30.54857294401495
1AVX_p22,1AVX,[ -5.4032207 -12.175959   32.232304 ],-19.39364918851206,-28.275378988080107,-6.384322040000992
1AVX_p23,1AVX,[ 32.82958   21.722754 -11.413979],15.753787656958064,24.369547113415155,-28.94618796891087
1AVX_p24,1AVX,[-30.799213  -9.328997  41.41388 ],-41.085796040040414,-31.12228741917245,9.700110822791979
1AVX_p25,1AVX,[ 34.195408  17.805042 -16.775848],22.039792540928346,24.17255023497341,-26.41420519899475
1AVX_p26,1AVX,[-6.361932 -9.282995 32.130997],-21.217879482049494,-25.832588992017797,-6.44423386097119
1AVX_p27,1AVX,[ -3.1829238 -20.326683  -25.68063  ],25.46670935150725,-2.232197785713774,20.71868266088295
1AVX_p28,1AVX,[28.529202 25.53611  -7.768552],9.073763000733404,25.451568567982633,-28.217784953569378
1AVX_p29,1AVX,[33.563786 22.440197 -9.518215],14.519001793240491,23.888612341636044,-30.646690714233525
1AVX_p30,1AVX,[ 34.62297    7.924111 -24.034328],31.921221960969465,20.131411848871895,-20.370389395090356
1AVX_p31,1AVX,[-7.9379597 -6.7313056 33.026794 ],-23.907635651430965,-24.23531546786995,-6.3376149687835595
1AVX_p32,1AVX,[32.01977   22.906673  -7.5696564],12.106601025359328,23.170866708421006,-30.394449796787914
1AVX_p33,1AVX,[ 32.958206  20.654814 -12.47597 ],17.058005196289837,24.089765887872716,-28.23512821918638
1AVX_p34,1AVX,[31.588701 23.729397 -9.255727],12.638877592104356,24.803156912821546,-29.523910092785123
1AVX_p35,1AVX,[30.82849  22.750618 -6.164978],10.556378874302226,22.247493550932468,-29.993423798803033
1AVX_p36,1AVX,[31.509544  22.109951  -2.8783653],8.976808331475777,19.859820448424337,-31.85892307284299
1AVX_p37,1AVX,[29.12469   23.299328  -4.0834656],7.925516806555476,21.522337665646262,-29.69438115231245
1AVX_p38,1AVX,[-6.100592 -9.383633 34.175507],-22.430670462497627,-27.072248740328593,-7.562638401698248
1AVX_p39,1AVX,[ 34.12196   15.67564  -19.510914],24.88218367306897,23.964047010142114,-24.439953298713917
1AVX_p40,1AVX,[31.180447 23.14895  -4.720971],9.571064154798906,21.759006856616622,-31.06963678081192
1AVX_p41,1AVX,[27.787956  25.463028  -5.6062665],7.212724229329675,24.167999337936145,-28.563108758886568
1AVX_p42,1AVX,[21.653513  27.379583  -3.1615136],1.2377408491039623,24.36523740233736,-25.16574588420603
1AVX_p43,1AVX,[ 33.626995  17.915533 -17.889835],22.43881754427048,24.893893892551127,-25.467257155904047
1AVX_p44,1AVX,[ -8.208321 -31.26399   11.07695 ],2.5888583449363014,-32.046374869927135,11.568936554284365
1AVX_p45,1AVX,[ 34.34426   17.004065 -18.277176],23.531201868553946,24.361453337902656,-25.603205319101065
1AVX_p46,1AVX,[ -5.552159 -10.58971   32.700203],-20.54524438237051,-27.232105282716415,-6.9697322380889775
1AVX_p47,1AVX,[33.401184 21.894615 -6.10132 ],12.338629135479314,21.505637367280826,-31.898361046729576
1AVX_p48,1AVX,[-5.6946225 -8.200681  32.66343  ],-21.72494694371638,-25.241357956524617,-7.581563776038144
1AVX_p49,1AVX,[29.401865  23.985748  -4.6055436],8.113894006407037,22.3837096141176,-29.902028697948875
1AVX_p50,1AVX,[30.505836 22.883486 -5.420929],9.804130438013907,21.936109652573542,-30.105361890813246
1AVX_p51,1AVX,[14.878171 30.497849 -8.629958],-0.22114296124412244,30.03025101553187,-18.002506176564825
1AVX_p52,1AVX,[30.921076 22.502468 -5.357567],10.16979878371902,21.58608363763678,-30.361059806203134
1AVX_p53,1AVX,[ 33.54659   18.516788 -17.90127 ],22.118782118723274,25.39614534078425,-25.583122745634853
1AVX_p54,1AVX,[ 34.474754   13.9978075 -20.763092 ],26.72852335715619,23.2889586925393,-23.638191247500746
1AVX_p55,1AVX,[ 34.806896  11.603397 -21.475794],28.530581870140722,21.717788451951456,-22.841026392484157
1AVX_p56,1AVX,[31.709066  22.96185   -6.8386574],11.406549279017522,22.802802668698998,-30.486090841185646
1AVX_p57,1AVX,[29.082773   23.36383    -0.85015655],5.650412925652703,19.746288880276175,-31.153750199486257
1AVX_p58,1AVX,[ 2.3336923 32.864     -8.7740755],-8.173485073487145,32.062862031817396,-8.224359718027468
1AVX_p59,1AVX,[31.385307  23.504028  -7.1140313],11.161156628449273,23.4056640924549,-30.260370831856786
1AVX_p60,1AVX,[ -7.905948 -14.102235  31.707346],-19.50868825631909,-29.566751689317318,-3.4570555351092382
1AVX_p61,1AVX,[ 34.799397   -4.6574664 -23.167894 ],37.35447834343352,9.266729021303965,-16.97681694030028
1AVX_p62,1AVX,[ 34.19323   17.330465 -17.668036],22.87530418045081,24.28597680730051,-25.85717683060466
1AVX_p63,1AVX,[29.730757  23.248087  -3.6361814],7.977454710743861,21.227035572238428,-30.387277928419927
1AVX_p64,1AVX,[  1.0129362 -13.669337  -32.734318 ],29.494735363130143,7.247913300385426,18.355945458997713
1AVX_p65,1AVX,[31.84446  21.854162 -5.862467],11.332863202331305,21.337150297895413,-30.69747558259611
1AVX_p66,1AVX,[19.973522  28.437449  -7.9897885],3.1275577835385113,27.969114712019106,-21.89552468846063
1AVX_p67,1AVX,[-20.905731  -24.755264   -4.0409284],2.887205839765208,-18.12651678062417,27.005469129654973
1AVX_p68,1AVX,[ 33.735123  20.856833 -11.180835],16.502482850522362,23.523626595948752,-29.536153934841014
1AVX_p69,1AVX,[ 28.34401   22.967463 -19.102417],17.96944066894479,29.74562214664438,-22.092691654738672
1AVX_p70,1AVX,[-18.789757 -23.984434  -7.156651],5.834503852833061,-15.7281945939387,26.421738114846697
1AVX_p71,1AVX,[ 35.038784    1.0725639 -22.936111 ],34.62642331969639,13.860459031036216,-19.074349137924155
1AVX_p72,1AVX,[ 33.285675  19.575163 -15.887941],20.092293186416427,25.12982277773126,-26.614694036545842
